Title,description
https://payme.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://click.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://upay.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://paynet.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://oson.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://mbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://uzcard.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://humo.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://agropay.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://korzinka.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://qiwi.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://myuzcard.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://kapitalbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://infinbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://ipakyulibank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://xalqbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://tbcbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://trustbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://ofb.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://aab.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://ravnaqbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://universalbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://turonbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://qqb.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://alokabank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://madadpay.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://microcreditbank.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
https://uzum.uz,"Now, analyze the website at following this strict algorithm and provide a JSON response with ONLY verified physical office locations."
